timestamp,sensor_id,asset_id,metric,value,unit,quality_flag
2026-07-10T00:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,20.582,MGD,Valid
2026-07-10T01:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,19.878,MGD,Valid
2026-07-10T02:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,20.907,MGD,Valid
2026-07-10T03:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,24.203,MGD,Valid
2026-07-10T04:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,22.823,MGD,Valid
2026-07-10T05:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,20.275,MGD,Valid
2026-07-10T06:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,23.096,MGD,Valid
2026-07-10T07:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,23.351,MGD,Valid
2026-07-10T08:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,21.504,MGD,Valid
2026-07-10T09:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,18.976,MGD,Valid
2026-07-10T10:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,20.718,MGD,Valid
2026-07-10T11:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,17.128,MGD,Valid
2026-07-10T12:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,20.16,MGD,Valid
2026-07-10T13:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,19.278,MGD,Valid
2026-07-10T14:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,20.029,MGD,Valid
2026-07-10T15:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,17.145,MGD,Valid
2026-07-10T16:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,12.756,MGD,Valid
2026-07-10T17:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,19.593,MGD,Valid
2026-07-10T18:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,16.398,MGD,Warning
2026-07-10T19:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,16.024,MGD,Valid
2026-07-10T20:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,17.916,MGD,Valid
2026-07-10T21:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,16.95,MGD,Valid
2026-07-10T22:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,19.715,MGD,Valid
2026-07-10T23:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,20.199,MGD,Valid
2026-07-11T00:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,20.582,MGD,Warning
2026-07-11T01:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,22.884,MGD,Valid
2026-07-11T02:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,21.871,MGD,Valid
2026-07-11T03:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,23.722,MGD,Valid
2026-07-11T04:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,21.896,MGD,Valid
2026-07-11T05:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,24.487,MGD,Valid
2026-07-11T06:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,24.008,MGD,Valid
2026-07-11T07:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,20.571,MGD,Valid
2026-07-11T08:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,22.889,MGD,Valid
2026-07-11T09:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,23.575,MGD,Outlier
2026-07-11T10:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,23.24,MGD,Sensor fault
2026-07-11T11:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,22.071,MGD,Valid
2026-07-11T12:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,22.096,MGD,Valid
2026-07-11T13:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,23.119,MGD,Outlier
2026-07-11T14:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,17.628,MGD,Missing
2026-07-11T15:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,15.393,MGD,Valid
2026-07-11T16:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,16.176,MGD,Warning
2026-07-11T17:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,19.265,MGD,Valid
2026-07-11T18:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,18.196,MGD,Valid
2026-07-11T19:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,15.49,MGD,Valid
2026-07-11T20:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,15.923,MGD,Valid
2026-07-11T21:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,17.004,MGD,Valid
2026-07-11T22:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,14.045,MGD,Valid
2026-07-11T23:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,16.495,MGD,Valid
2026-07-12T00:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,21.199,MGD,Valid
2026-07-12T01:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,19.868,MGD,Valid
2026-07-12T02:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,21.051,MGD,Valid
2026-07-12T03:00:00+00:00,SNS-IN0016-00,SGW-WAS-IN0016,influent_flow,21.701,MGD,Valid
